word,x,y
milw,120,299
오즈세컨,119,247
lace,191,257
패션나시,62,282
반팔,35,270
wmp,120,243
ts,25,299
tp,85,183
to,82,149
tj,25,172
under,148,299
소녀감성,8,174
기본,67,280
leshop,1,276
graphic,237,251
tri,144,281
and,270,185
반팔티,17,218
ak몰,0,177
round,98,100
롱티셔츠,12,254
해외,264,299
tee,223,150
crop,198,299
shirts,181,144
joie,118,236
spaghetti,298,299
casual,151,125
blouse,138,250
팬츠,51,206
하프클럽,11,295
new,75,134
newyork,0,207
loose,220,164
baseball,233,196
active,80,114
화이트,66,261
box,207,169
롱원피스티,0,229
pack,198,235
tt,67,299
대구백화점,93,298
love,124,220
adidas,209,221
empyre,249,179
strap,288,299
루즈,46,231
boxy,230,157
zip,215,278
visit,0,204
아이우먼,0,165
diamond,103,176
baby,184,299
women,199,198
mf,74,231
sleeveless,299,299
stussy,252,211
cat,146,235
soup,0,299
프린팅,70,291
heart,133,233
slim,107,110
i관,89,299
여성옷,29,233
dress,194,170
pink,239,224
clothing,203,207
lab,111,254
mesh,26,140
floral,113,163
short,145,124
neck,120,100
sr,0,299
st,32,285
scoop,166,189
그래픽,54,206
sd,298,263
exclusive,103,188
lf,74,299
jacobs,10,139
le,3,278
group,177,130
nordstrom,114,197
fit,246,165
la,115,190
pullover,236,232
doublju,102,101
front,150,226
ys,7,95
민소매티셔츠,57,279
배색,58,299
ccutti,112,284
박스티,0,237
%정품,252,299
chiffon,243,249
무비,49,190
베이직,57,260
navy,141,157
logo,115,132
sweatshirt,175,258
여성티,6,231
out,112,145
flower,287,252
juniors,157,204
스트라이프,0,258
print,103,131
럭셔리걸,41,166
red,119,180
eagle,212,298
theory,84,172
u.s.,31,153
포켓,79,267
hoodie,215,289
knit,37,131
박스티셔츠,46,225
women　에어,68,200
american,174,299
올리비에스클로젯,24,217
uniqlo,83,207
르샵,0,286
단가라,80,279
톰보이,92,299
size,171,209
mixxo,152,153
sheer,182,279
top,298,276
chaser,210,226
shell,49,160
캔마트,113,280
당일출고,0,254
국내생산,34,245
drape,67,165
white,120,162
tunic,219,278
stm,116,284
grey,136,176
라운드티,17,230
여성,11,182
fashion,180,190
u넥,83,268
seethrough,284,250
cropped,226,299
브라,72,201
아가타,94,279
레터링,0,299
blue,130,180
라운드티셔츠,26,241
톰앤래빗,43,216
crochet,42,140
나이스클랍,105,298
sale,0,287
엄마옷,43,299
cami,226,290
삭스（,67,182
pattern,144,238
blend,150,277
여성용,80,246
민트,87,227
미국직배송,257,299
언더아머underarmour,133,299
데카당스,36,287
mens,169,166
black,119,151
raglan,154,235
dm,246,249
dk,287,252
메가글로벌,250,278
lucky,217,224
면스판,93,232
pocket,159,242
dye,260,228
striped,213,191
silk,63,164
decadence.,60,286
sleeve,118,94
리듬,68,208
yohji,7,95
set,105,267
기존가:,91,299
legacy,143,290
alternative,173,171
갤러리아,58,223
lauren,44,97
underarmour,192,280
ralph,44,95
hh,106,213
ab.plus,68,273
wb,108,239
je,294,265
패션티셔츠,21,248
끈나시,40,281
henley,166,232
men　sprz　ny그래픽,51,184
쉬폰,49,299
jersey,173,270
trim,43,123
ch,71,236
spandex,175,292
（gu）girls,52,188
세컨플로어,119,255
color,138,208
sweet,115,208
ca,100,214
jeans,227,228
polo,60,95
crew,181,254
marc,0,137
stretch,210,268
three,181,234
basic,216,183
wx,118,233
sleeves,148,235
muji,202,142
tank,297,289
solid,98,100
plain,145,144
골지,77,260
루즈핏,24,273
부루앤쥬디,48,298
racerback,207,299
탱크,68,198
부르앤쥬디,43,299
vr,0,208
in,51,169
rib,189,289
shirt,135,102
nike,158,242
vintage,225,228
make,91,156
미샵,120,232
현대hmall,107,299
nii,40,204
블랙,89,254
tops,295,268
stripe,220,152
assn.,163,207
noodle,225,208
＋e,49,183
티셔츠,28,265
the,88,133
muscle,267,220
charged,144,286
summer,152,122
롱나시,0,248
armour,170,259
여성티셔츠,7,242
not,93,160
나시,21,205
화이트라운드티셔츠,86,232
yamamoto,7,95
cut,133,236
rose,105,145
asos,71,172
supply,106,175
슬리브리스,78,270
라운드넥,41,256
psm,102,253
레이스,34,294
패션플러스,41,265
민소매,30,281
shoulder,234,237
플라워,52,299
블라우스,23,185
back,37,128
코코애비뉴,27,156
드넬,16,162
for,228,231
브이넥,76,250
티티진,19,166
어베크롬비,256,299
stingray,221,211
abercrombie,250,291
라운드,52,282
obey,294,221
crooks,272,186
ak플라자,98,224
slub,161,187
by,0,115
on,88,187
무지티,0,234
of,93,146
ribbed,268,269
plus,178,201
패션티,36,230
여성의류,0,232
womens,98,94
printed,191,259
ladies,154,222
mihw,125,299
반팔티셔츠,24,266
long,136,115
burnout,107,156
프린트,20,299
hem,198,269
미크,22,203
swmp,121,246
ivory,147,156
brand,80,138
여름,32,211
arcteryx,60,144
남방,25,178
with,177,258
junior,158,216
skull,236,217
ut,101,225
up,33,146
ua,137,258
castles,270,186
classic,208,255
종택,78,268
deep,167,189
armour®,145,299
cotton,90,96
화이트폭스,23,166
heather,156,250
핫핑,18,165
nb,35,190
ny,227,262
매긴,62,248
나시티,40,280
tie,288,222
패션플러스모다,63,235
dresses,207,216
포인트,74,263
쉬폰티셔츠,42,230
빅사이즈,0,199
jacket,63,129
apparel,176,299
